"Name","Team","SwStr%","Pitches","playerid"
"Brian Duensing","Orioles","9.1 %","209","4064"
"Matt Barnes","Red Sox","10.8 %","1195","12863"
"Javier Lopez","Giants","6.3 %","443","1663"
"Joe Musgrove","Astros","9.9 %","980","12970"
"Gavin Floyd","Blue Jays","15.4 %","475","3886"
"Matt Moore","- - -","10.4 %","3285","1890"
"J.P. Howell","Dodgers","8.8 %","883","8245"
"Felipe Rivero","- - -","14.5 %","1294","12076"
"Justin Grimm","Cubs","12.3 %","906","11720"
"Ken Giles","Astros","19.9 %","1117","12910"
"Kendall Graveman","Athletics","7.4 %","2832","15514"
"Hisashi Iwakuma","Mariners","7.8 %","2981","13048"
"Jason Grilli","- - -","13.4 %","1072","521"
"Vince Velasquez","Phillies","11.2 %","2213","11189"
"Chris Capuano","Brewers","10.5 %","438","1701"
"Justin Wilson","Tigers","12.5 %","996","4301"
"Tony Cingrani","Reds","8.5 %","1095","12555"
"Charlie Morton","Phillies","12.3 %","276","4676"
"Keith Hessler","- - -","6.9 %","418","12220"
"Alex Wimmers","Twins","12.1 %","306","11394"
"Ivan Nova","- - -","9.4 %","2310","1994"
"Tyler Skaggs","Angels","8.1 %","876","10190"
"Junichi Tazawa","Red Sox","13.0 %","838","4079"
"Dylan Floro","Rays","8.9 %","248","13394"
"Chad Kuhl","Pirates","8.9 %","1141","14975"
"Fernando Rodriguez","Athletics","12.9 %","660","7558"
"Lucas Harrell","- - -","7.3 %","833","7541"
"Chien-Ming Wang","Royals","5.3 %","835","2074"
"Taijuan Walker","Mariners","10.0 %","2311","11836"
"Brandon Cunniff","Braves","10.5 %","304","11509"
"Zach Neal","Athletics","9.1 %","945","11294"
"Tyler Glasnow","Pirates","11.6 %","439","14374"
"Jose Valdez","Angels","9.6 %","398","14470"
"Buddy Boshers","Twins","12.2 %","542","8490"
"Trevor Bauer","Indians","9.0 %","3092","12703"
"Rubby de la Rosa","Diamondbacks","10.4 %","857","3862"
"Cory Gearrin","Giants","11.5 %","732","7947"
